Renoise,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes," MP4, MP4A, CAF, SFZ"
RiffWorks,No,No,No,Export,No,No,Export,Yes,No,No,
Rosegarden,No,No,Yes,Unk,Unk,Unk,Unk,Unk,Unk,Unk,"Csound, Mup, MuxicXML, h2song"
Samplitude,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes," WMA, RealAudio"
Sound Forge,Unk,Unk,Unk,Yes,Yes,Yes,Yes,Unk,Yes,Yes," SWF (open only), RealAudio  ; RealVideo (export only), WMA and WMV, AVI, AIF, SND, MPEG-1 and MPEG-2, AU, DIG, IVC, PCA, W64, FRG, VOX, AA3, OMA, CDA, AC-3 studio (save only), RAW"
Soundbooth,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk
Soundscape 32,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk,Unk
SoX,Unk,Unk,Unk,Yes,External LAME,Unk,Yes,Unk,Yes,Yes,AU and other audio file formats
SpectraLayers,Unk,Unk,Unk,Yes,Yes,Yes,Yes,Unk,Yes,Yes," .caf, .alac, RAW/PCM, .rm, .au, .snd, AVI, MXF, MP1, MP2, MP4, MKV, Quicktime, .vob, .wmv, WMA"
Studio One,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes," BWF, RF64, PreSonus Capture Session, Steinberg Cubase Track Archive, Steinberg Sequel Project, Kristal Audio Engine Project"
Sweep,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes," Various versions of WAV (integer, floating point, GSM, and compressed formats); Microsoft PCM, A-law and u-law formats; AIFC and RIFX; various AU/SND formats (Sun/NeXT, Dec AU, G721 and G723 ADPCM); RAW header-less PCM files; Amiga IFF/8SVX/16SV PCM files; Ensoniq PARIS  (.PAF); Apples Core Audio Format (CAF) and others."
Total Recorder,No,No,No,No,Yes,No,Yes,No,No,Yes," PCM (uncompressed), WMA, Monkeys Audio (APE)."
Tracktion,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Traverso,No,No,Unk,Yes,Yes,Unk,Yes,Unk,No,Yes,WavPack
WaveLab,No,No,Controllers,Yes,Yes,Yes,Yes,No,Yes,Yes," AU, MP2, RAW"
WavePad,No,No,Import,Yes,Yes,Yes,Yes,No,Yes,Yes," import midi, Sun AU, MPEG4 audio, GSM, RAW, Dialogic VOX, AMR Narrowband, Musepack, Monkeys Audio Codec, others"
WaveSurfer,No,No,No,Yes,Import,No,With plugin,No,Yes,No," Import: AU, CSL, SD  Export: AU"
,OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
